country,score,gdp_per_capita,social_support,health_life_expectancy,freedom,trust_government_corruption,generosity,region_Australia and New Zealand,region_Central and Eastern Europe,region_Eastern Asia,region_Latin America and Caribbean,region_Middle East and Northern Africa,region_North America,region_Southeastern Asia,region_Southern Asia,region_Sub-Saharan Africa,region_Western Europe,region_Western Europre,year_2015,year_2016,year_2017,year_2018,year_2019
Malawi,4.292,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Sri Lanka,4.271,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Cameroon,4.252,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Bulgaria,4.218,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Egypt,4.194,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Yemen,4.077,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Angola,4.033,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Mali,3.995,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Congo (Brazzaville),3.989,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Comoros,3.956,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Uganda,3.931,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Senegal,3.904,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Gabon,3.896,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Niger,3.845,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Cambodia,3.819,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False
Tanzania,3.781,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Madagascar,3.681,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Central African Republic,3.678,0.0785,0.0,0.06699,0.48879,0.08289,0.23835,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Chad,3.667,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Guinea,3.656,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Ivory Coast,3.655,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Burkina Faso,3.587,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Afghanistan,3.575,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False
Rwanda,3.465,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Benin,3.34,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Syria,3.006,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
Burundi,2.905,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Togo,2.839,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
Denmark,7.526,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Switzerland,7.509,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
Iceland,7.501,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Norway,7.498,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Finland,7.413,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Canada,7.404,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
Netherlands,7.339,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
New Zealand,7.334,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Australia,7.313,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Sweden,7.291,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Israel,7.267,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
Austria,7.119,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
United States,7.104,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
Costa Rica,7.087,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Puerto Rico,7.039,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
Germany,6.994,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
Brazil,6.952,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
